Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01314","Dates","2021","2021","7021","Annual value","LCU","56285.9","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01314","Dates","2022","2022","7021","Annual value","LCU","66126.4","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01314","Dates","2023","2023","7021","Annual value","LCU","65763.5","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01233","Eggplants (aubergines)","2020","2020","7021","Annual value","LCU","10627","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01233","Eggplants (aubergines)","2021","2021","7021","Annual value","LCU","12373.3","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01233","Eggplants (aubergines)","2022","2022","7021","Annual value","LCU","11361.3","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01233","Eggplants (aubergines)","2023","2023","7021","Annual value","LCU","12271.5","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01315","Figs","2020","2020","7021","Annual value","LCU","17386.2","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01315","Figs","2021","2021","7021","Annual value","LCU","19949.5","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01315","Figs","2022","2022","7021","Annual value","LCU","23486.5","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01315","Figs","2023","2023","7021","Annual value","LCU","25170","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01657","Ginger, raw","2020","2020","7021","Annual value","LCU","20032.5","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01657","Ginger, raw","2021","2021","7021","Annual value","LCU","19877.9","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01657","Ginger, raw","2022","2022","7021","Annual value","LCU","19395.6","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01657","Ginger, raw","2023","2023","7021","Annual value","LCU","19924.4","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01330","Grapes","2020","2020","7021","Annual value","LCU","24174.7","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01330","Grapes","2021","2021","7021","Annual value","LCU","23741.8","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01330","Grapes","2022","2022","7021","Annual value","LCU","24978.2","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01330","Grapes","2023","2023","7021","Annual value","LCU","26329.3","A","Official figure"
